rowID;ifile;kL;kF;mtype;mtypeString;fractionOfResistantNodes;aggoutput;obj;wiener_index_f;wiener_index_v;SL;SF;propagation_length_min_f;propagation_length_mean_f;propagation_length_max_f;propagation_length_min_v;propagation_length_mean_v;propagation_length_max_v;SFv;SLv
23;msg-college.im;0;10;3;O;0;1;103.35013;0.730057142857143;2.11544405651464;Int64[];[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];0.0058;0.80317;2.3174;1.0008;1.88807000000001;3.7007;[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];Int64[]
24;msg-college.im;0;10;3;O;0;0;102.99663;0;0;Int64[];[3, 9, 32, 42, 103, 105, 249, 289, 400, 713];0;0;0;0;0;0;[3, 9, 32, 42, 103, 105, 249, 289, 400, 713];Int64[]
25;msg-college.im;0;10;3;O;0;0;102.75624;0;0;Int64[];[3, 9, 32, 67, 103, 105, 249, 289, 400, 1113];0;0;0;0;0;0;[3, 9, 32, 67, 103, 105, 249, 289, 400, 1113];Int64[]
26;msg-college.im;0;10;3;O;0;0;103.35013;0;0;Int64[];[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];Int64[]
27;msg-college.im;0;10;3;O;0;0;103.26762;0;0;Int64[];[3, 9, 32, 42, 103, 105, 249, 289, 400, 1113];0;0;0;0;0;0;[3, 9, 32, 42, 103, 105, 249, 289, 400, 1113];Int64[]
28;msg-college.im;0;10;3;O;0;0;103.35013;0;0;Int64[];[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];Int64[]
29;msg-college.im;0;10;3;O;0;0;103.35013;0;0;Int64[];[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];Int64[]
30;msg-college.im;0;10;3;O;0;0;103.35013;0;0;Int64[];[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];Int64[]
31;msg-college.im;0;10;3;O;0;0;102.99663;0;0;Int64[];[3, 9, 32, 42, 103, 105, 249, 289, 400, 713];0;0;0;0;0;0;[3, 9, 32, 42, 103, 105, 249, 289, 400, 713];Int64[]
32;msg-college.im;0;10;3;O;0;0;103.35013;0;0;Int64[];[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 32, 103, 105, 249, 289, 400, 713, 1113];Int64[]
33;msg-college.im;0;10;3;O;0;0;103.26762;0;0;Int64[];[3, 9, 32, 42, 103, 105, 249, 289, 400, 1113];0;0;0;0;0;0;[3, 9, 32, 42, 103, 105, 249, 289, 400, 1113];Int64[]
34;msg-college.im;0;10;5;R25;0.25;1;6.23237786321578;0.702197113997114;2.03574319800325;Int64[];[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];0.004;0.75816;2.2843;0.9969;1.76457;3.5864;[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];Int64[]
35;msg-college.im;0;10;5;R25;0.25;0;6.04298898868463;0;0;Int64[];[3, 9, 19, 42, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[3, 9, 19, 42, 103, 105, 249, 289, 400, 523];Int64[]
36;msg-college.im;0;10;5;R25;0.25;0;6.17338918518826;0;0;Int64[];[3, 9, 19, 32, 42, 103, 105, 289, 400, 523];0;0;0;0;0;0;[3, 9, 19, 32, 42, 103, 105, 289, 400, 523];Int64[]
37;msg-college.im;0;10;5;R25;0.25;0;6.17298464916038;0;0;Int64[];[3, 9, 32, 42, 103, 105, 249, 289, 400, 713];0;0;0;0;0;0;[3, 9, 32, 42, 103, 105, 249, 289, 400, 713];Int64[]
38;msg-college.im;0;10;5;R25;0.25;0;6.23237786321578;0;0;Int64[];[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];0;0;0;0;0;0;[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];Int64[]
39;msg-college.im;0;10;5;R25;0.25;0;6.17875905596704;0;0;Int64[];[3, 9, 19, 32, 42, 67, 103, 105, 289, 400];0;0;0;0;0;0;[3, 9, 19, 32, 42, 67, 103, 105, 289, 400];Int64[]
40;msg-college.im;0;10;5;R25;0.25;0;6.17503296782945;0;0;Int64[];[3, 9, 32, 42, 103, 105, 289, 400, 523, 713];0;0;0;0;0;0;[3, 9, 32, 42, 103, 105, 289, 400, 523, 713];Int64[]
41;msg-college.im;0;10;5;R25;0.25;0;6.23237786321578;0;0;Int64[];[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];0;0;0;0;0;0;[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];Int64[]
42;msg-college.im;0;10;5;R25;0.25;0;6.23237786321578;0;0;Int64[];[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];0;0;0;0;0;0;[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];Int64[]
43;msg-college.im;0;10;5;R25;0.25;0;6.17503296782945;0;0;Int64[];[3, 9, 32, 42, 103, 105, 289, 400, 523, 713];0;0;0;0;0;0;[3, 9, 32, 42, 103, 105, 289, 400, 523, 713];Int64[]
44;msg-college.im;0;10;5;R25;0.25;0;6.23237786321578;0;0;Int64[];[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];0;0;0;0;0;0;[3, 9, 19, 32, 42, 103, 105, 289, 400, 713];Int64[]
45;msg-college.im;0;10;5;R50;0.5;1;4.80871078067261;0.687247474747475;1.98858969834207;Int64[];[9, 19, 42, 67, 103, 105, 289, 400, 523, 713];0.0025;0.736790000000002;2.2598;0.9874;1.66283999999999;3.4312;[9, 19, 42, 67, 103, 105, 289, 400, 523, 713];Int64[]
46;msg-college.im;0;10;5;R50;0.5;0;4.80871078067261;0;0;Int64[];[9, 19, 42, 67, 103, 105, 289, 400, 523, 713];0;0;0;0;0;0;[9, 19, 42, 67, 103, 105, 289, 400, 523, 713];Int64[]
47;msg-college.im;0;10;5;R50;0.5;0;4.80572034171673;0;0;Int64[];[9, 19, 32, 42, 67, 103, 105, 289, 400, 523];0;0;0;0;0;0;[9, 19, 32, 42, 67, 103, 105, 289, 400, 523];Int64[]
48;msg-college.im;0;10;5;R50;0.5;0;4.77872912463443;0;0;Int64[];[9, 19, 42, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[9, 19, 42, 67, 103, 105, 249, 289, 400, 523];Int64[]
49;msg-college.im;0;10;5;R50;0.5;0;4.75088697909946;0;0;Int64[];[3, 9, 42, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[3, 9, 42, 67, 103, 105, 249, 289, 400, 523];Int64[]
50;msg-college.im;0;10;5;R50;0.5;0;4.79042730729585;0;0;Int64[];[9, 32, 42, 67, 103, 105, 289, 400, 523, 713];0;0;0;0;0;0;[9, 32, 42, 67, 103, 105, 289, 400, 523, 713];Int64[]
51;msg-college.im;0;10;5;R50;0.5;0;4.79042730729585;0;0;Int64[];[9, 32, 42, 67, 103, 105, 289, 400, 523, 713];0;0;0;0;0;0;[9, 32, 42, 67, 103, 105, 289, 400, 523, 713];Int64[]
52;msg-college.im;0;10;5;R50;0.5;0;4.79519717656685;0;0;Int64[];[9, 19, 32, 42, 67, 103, 105, 289, 400, 713];0;0;0;0;0;0;[9, 19, 32, 42, 67, 103, 105, 289, 400, 713];Int64[]
53;msg-college.im;0;10;5;R50;0.5;0;4.76036137888763;0;0;Int64[];[3, 9, 19, 42, 103, 105, 289, 400, 523, 713];0;0;0;0;0;0;[3, 9, 19, 42, 103, 105, 289, 400, 523, 713];Int64[]
54;msg-college.im;0;10;5;R50;0.5;0;4.78017603957274;0;0;Int64[];[3, 9, 42, 67, 103, 105, 289, 400, 523, 713];0;0;0;0;0;0;[3, 9, 42, 67, 103, 105, 289, 400, 523, 713];Int64[]
55;msg-college.im;0;10;5;R50;0.5;0;4.76297403363685;0;0;Int64[];[9, 19, 32, 42, 67, 103, 105, 289, 400, 1113];0;0;0;0;0;0;[9, 19, 32, 42, 67, 103, 105, 289, 400, 1113];Int64[]
56;msg-college.im;0;10;5;R75;0.75;1;3.28986071527938;0.652374025974026;2.04452973427611;Int64[];[3, 9, 32, 67, 103, 105, 249, 289, 400, 523];0.0012;0.695520000000003;2.2557;0.9882;1.73266999999999;3.5525;[3, 9, 32, 67, 103, 105, 249, 289, 400, 523];Int64[]
57;msg-college.im;0;10;5;R75;0.75;0;3.28986071527938;0;0;Int64[];[3, 9, 32, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[3, 9, 32, 67, 103, 105, 249, 289, 400, 523];Int64[]
58;msg-college.im;0;10;5;R75;0.75;0;3.27906940144716;0;0;Int64[];[9, 19, 32, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[9, 19, 32, 67, 103, 105, 249, 289, 400, 523];Int64[]
59;msg-college.im;0;10;5;R75;0.75;0;3.28687483309727;0;0;Int64[];[9, 32, 42, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[9, 32, 42, 67, 103, 105, 249, 289, 400, 523];Int64[]
60;msg-college.im;0;10;5;R75;0.75;0;3.28986071527938;0;0;Int64[];[3, 9, 32, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[3, 9, 32, 67, 103, 105, 249, 289, 400, 523];Int64[]
61;msg-college.im;0;10;5;R75;0.75;0;3.27906940144716;0;0;Int64[];[9, 19, 32, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[9, 19, 32, 67, 103, 105, 249, 289, 400, 523];Int64[]
62;msg-college.im;0;10;5;R75;0.75;0;3.28687483309727;0;0;Int64[];[9, 32, 42, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[9, 32, 42, 67, 103, 105, 249, 289, 400, 523];Int64[]
63;msg-college.im;0;10;5;R75;0.75;0;3.22700277025712;0;0;Int64[];[9, 19, 32, 42, 103, 105, 249, 289, 400, 713];0;0;0;0;0;0;[9, 19, 32, 42, 103, 105, 249, 289, 400, 713];Int64[]
64;msg-college.im;0;10;5;R75;0.75;0;3.27574634926571;0;0;Int64[];[3, 9, 32, 42, 67, 103, 105, 289, 400, 523];0;0;0;0;0;0;[3, 9, 32, 42, 67, 103, 105, 289, 400, 523];Int64[]
65;msg-college.im;0;10;5;R75;0.75;0;3.27906940144716;0;0;Int64[];[9, 19, 32, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[9, 19, 32, 67, 103, 105, 249, 289, 400, 523];Int64[]
66;msg-college.im;0;10;5;R75;0.75;0;3.23975314687454;0;0;Int64[];[9, 12, 32, 67, 103, 105, 249, 289, 400, 523];0;0;0;0;0;0;[9, 12, 32, 67, 103, 105, 249, 289, 400, 523];Int64[]
67;msg-college.im;0;15;1;F;0;1;30.07458;0.730339682539682;1.82605312874532;Int64[];[9, 19, 103, 105, 249, 289, 337, 400, 431, 704, 871, 1113, 1271, 1272, 1713];0.0007;0.791440000000074;2.412;0.4843;1.67907999999999;3.7369;[9, 19, 103, 105, 249, 289, 337, 400, 431, 704, 871, 1113, 1271, 1272, 1713];Int64[]
68;msg-college.im;0;15;1;F;0;0;29.91299;0;0;Int64[];[9, 19, 42, 103, 105, 249, 289, 337, 400, 431, 704, 758, 1113, 1271, 1713];0;0;0;0;0;0;[9, 19, 42, 103, 105, 249, 289, 337, 400, 431, 704, 758, 1113, 1271, 1713];Int64[]
69;msg-college.im;0;15;1;F;0;0;29.87261;0;0;Int64[];[9, 19, 103, 105, 289, 325, 337, 400, 431, 704, 871, 1113, 1184, 1271, 1713];0;0;0;0;0;0;[9, 19, 103, 105, 289, 325, 337, 400, 431, 704, 871, 1113, 1184, 1271, 1713];Int64[]
70;msg-college.im;0;15;1;F;0;0;30.03671;0;0;Int64[];[9, 19, 103, 105, 249, 289, 337, 372, 400, 431, 704, 713, 871, 1113, 1713];0;0;0;0;0;0;[9, 19, 103, 105, 249, 289, 337, 372, 400, 431, 704, 713, 871, 1113, 1713];Int64[]
71;msg-college.im;0;15;1;F;0;0;29.64782;0;0;Int64[];[9, 19, 103, 105, 289, 317, 337, 400, 704, 713, 758, 871, 1113, 1272, 1713];0;0;0;0;0;0;[9, 19, 103, 105, 289, 317, 337, 400, 704, 713, 758, 871, 1113, 1272, 1713];Int64[]
72;msg-college.im;0;15;1;F;0;0;29.87802;0;0;Int64[];[9, 19, 42, 103, 105, 289, 337, 357, 400, 431, 704, 713, 871, 1113, 1713];0;0;0;0;0;0;[9, 19, 42, 103, 105, 289, 337, 357, 400, 431, 704, 713, 871, 1113, 1713];Int64[]
73;msg-college.im;0;15;1;F;0;0;30.07458;0;0;Int64[];[9, 19, 103, 105, 249, 289, 337, 400, 431, 704, 871, 1113, 1271, 1272, 1713];0;0;0;0;0;0;[9, 19, 103, 105, 249, 289, 337, 400, 431, 704, 871, 1113, 1271, 1272, 1713];Int64[]
74;msg-college.im;0;15;1;F;0;0;29.76606;0;0;Int64[];[9, 19, 42, 103, 105, 249, 289, 372, 400, 704, 713, 871, 1113, 1271, 1713];0;0;0;0;0;0;[9, 19, 42, 103, 105, 249, 289, 372, 400, 704, 713, 871, 1113, 1271, 1713];Int64[]
75;msg-college.im;0;15;1;F;0;0;29.82201;0;0;Int64[];[9, 19, 103, 249, 289, 317, 337, 400, 431, 704, 713, 871, 1113, 1271, 1713];0;0;0;0;0;0;[9, 19, 103, 249, 289, 317, 337, 400, 431, 704, 713, 871, 1113, 1271, 1713];Int64[]
76;msg-college.im;0;15;1;F;0;0;29.84769;0;0;Int64[];[9, 19, 103, 105, 289, 400, 431, 704, 713, 758, 871, 1113, 1271, 1272, 1713];0;0;0;0;0;0;[9, 19, 103, 105, 289, 400, 431, 704, 713, 758, 871, 1113, 1271, 1272, 1713];Int64[]
77;msg-college.im;0;15;1;F;0;0;29.94848;0;0;Int64[];[9, 19, 103, 105, 249, 289, 325, 337, 372, 400, 431, 704, 871, 1113, 1713];0;0;0;0;0;0;[9, 19, 103, 105, 249, 289, 325, 337, 372, 400, 431, 704, 871, 1113, 1713];Int64[]
78;msg-college.im;0;15;2;T;0;1;145.15051;0.645848148148148;2.13616539807732;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0.68201333333339;2.3557;0.9964;1.93818666666665;4.2262;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
79;msg-college.im;0;15;2;T;0;0;145.15051;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
80;msg-college.im;0;15;2;T;0;0;144.58121;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 400, 713, 1113, 1283];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 400, 713, 1113, 1283];Int64[]
81;msg-college.im;0;15;2;T;0;0;145.15051;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
82;msg-college.im;0;15;2;T;0;0;145.15051;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
83;msg-college.im;0;15;2;T;0;0;144.85205;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 372, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 372, 400, 713, 1113];Int64[]
84;msg-college.im;0;15;2;T;0;0;144.85205;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 372, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 249, 289, 357, 372, 400, 713, 1113];Int64[]
85;msg-college.im;0;15;2;T;0;0;145.15051;0;0;Int64[];[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];0;0;0;0;0;0;[3, 9, 12, 32, 42, 67, 103, 105, 194, 249, 289, 357, 400, 713, 1113];Int64[]
